p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.48448962003667,0.99,0.297,0,4,Prox1
0,3.32798638057144,0.911,0.267,0,4,Plekha2
0,2.95877610662831,0.865,0.254,0,4,Rasl10a
0,2.36870094445409,0.897,0.3,0,4,Calb1
0,3.25227050687757,0.979,0.394,0,4,Bhlhe22
0,2.38814728712629,0.947,0.372,0,4,Bcl11b
0,2.74785859148376,0.855,0.293,0,4,Prdm8
0,2.8715658097711,0.681,0.143,0,4,Dpyd
0,2.16499661163022,0.907,0.372,0,4,Cpne6
0,2.36522876695224,0.805,0.276,0,4,Trpc4
0,2.6498476031055,0.947,0.43,0,4,Pip5k1b
0,1.74218358495275,0.927,0.426,0,4,Rasgrf2
0,2.25025102879235,0.896,0.396,0,4,Tanc1
0,1.58239273839355,0.748,0.263,0,4,Nrp2
0,1.55109917889591,0.817,0.347,0,4,Thsd7a
0,2.42042252540391,0.639,0.182,0,4,Cdh9
0,1.23489426702503,0.881,0.431,0,4,Cpne4
0,2.4172355512163,0.602,0.156,0,4,Npnt
0,2.28168676247778,0.642,0.207,0,4,Cntnap5b
0,1.82924484598294,0.707,0.278,0,4,Bdnf
0,2.22738803728713,0.617,0.19,0,4,Zfpm2
0,1.9822527907909,0.758,0.335,0,4,Pdzd2
0,2.38269815918779,0.473,0.057,0,4,Pdyn
0,1.82052794589832,0.881,0.478,0,4,Sipa1l3
0,1.57723155725215,0.77,0.378,0,4,Arhgef28
0,3.38272938583156,0.424,0.042,0,4,Npy2r
0,1.76328822544297,0.523,0.178,0,4,Shisa6
0,3.01344156446128,0.354,0.043,0,4,Ndst4
0,1.82440471180263,0.978,0.669,0,4,2010300C02Rik
0,1.68820883175392,0.999,0.764,0,4,Epha4
2.54837689063695e-272,1.61202774739529,0.577,0.261,6.31997468877964e-270,4,Orai2
4.43150189484782e-240,1.83369794265477,0.373,0.121,1.09901246992226e-237,4,Pcsk5
